"duration" "CSIDuration" "ColorShapeProbe" "StimulusColor" "StimulusShape" "ReactionTime" "CorrectResp" "Congruency" "Switching" "ITIDuration"
"1" 1.20786 1.20786 "COLOR" "green" "triangle" "n/a" 0 "INCONGRUENT" "NOSWITCH" 0
"2" 1.20789 1.20789 "C" "red" "circle" "n/a" 0 "INCONGRUENT" "NOSWITCH" 0.99285
"3" 0.182080000000001 0.182080000000001 "SHAPE" "green" "triangle" "1.81107" 1 "INCONGRUENT" "SWITCH" 0.99282
"4" 0.21519 0.21519 "S" "red" "triangle" "1.51005" 0 "CONGRUENT" "NOSWITCH" 2.00217
"5" 1.19138 1.19138 "SHAPE" "red" "triangle" "n/a" 0 "CONGRUENT" "NOSWITCH" 2.00215
"6" 1.20798 1.20798 "C" "red" "circle" "0.9704" 1 "INCONGRUENT" "SWITCH" 0.992729999999998
"7" 1.20792 1.20792 "COLOR" "green" "circle" "0.62062" 1 "CONGRUENT" "NOSWITCH" 1.00938
"8" 1.19138 1.19138 "C" "red" "circle" "0.68457" 1 "INCONGRUENT" "NOSWITCH" 3.01155
"9" 0.215150000000001 0.215150000000001 "COLOR" "red" "circle" "1.19575" 1 "INCONGRUENT" "NOSWITCH" 0.992809999999999
"10" 0.198560000000001 0.198560000000001 "C" "green" "triangle" "1.04054" 1 "INCONGRUENT" "NOSWITCH" 1.00939
"11" 0.182029999999997 0.182029999999997 "COLOR" "green" "circle" "0.91821" 1 "CONGRUENT" "NOSWITCH" 2.00217
"12" 1.19142 1.19142 "SHAPE" "green" "triangle" "1.07118" 1 "INCONGRUENT" "SWITCH" 0.992800000000003
"13" 0.198530000000005 0.198530000000005 "S" "red" "circle" "1.5538" 1 "INCONGRUENT" "NOSWITCH" 1.00937
"14" 0.198540000000001 0.198540000000001 "COLOR" "red" "triangle" "1.01178" 1 "CONGRUENT" "SWITCH" 2.00221
"15" 0.198569999999997 0.198569999999997 "C" "green" "circle" "1.17633" 1 "CONGRUENT" "NOSWITCH" 1.00934
"16" 1.20798 1.20798 "COLOR" "red" "circle" "0.72153" 1 "INCONGRUENT" "NOSWITCH" 0.99277
"17" 0.198639999999997 0.198639999999997 "C" "red" "triangle" "1.17771" 1 "CONGRUENT" "NOSWITCH" 0.992760000000004
"18" 0.198640000000012 0.198640000000012 "S" "red" "triangle" "1.08185" 1 "CONGRUENT" "SWITCH" 1.00931999999999
"19" 0.198560000000001 0.198560000000001 "SHAPE" "red" "triangle" "0.70002" 1 "CONGRUENT" "NOSWITCH" 0.992789999999999
"20" 0.215150000000008 0.215150000000008 "S" "green" "triangle" "1.72123" 1 "INCONGRUENT" "NOSWITCH" 0.992809999999992
"21" 1.19141 1.19141 "SHAPE" "red" "triangle" "1.20419" 1 "CONGRUENT" "NOSWITCH" 1.00933000000001
"22" 1.19139 1.19139 "COLOR" "red" "circle" "1.09744" 1 "INCONGRUENT" "SWITCH" 1.00931
"23" 0.198560000000001 0.198560000000001 "C" "green" "circle" "1.09436" 1 "CONGRUENT" "NOSWITCH" 2.00214
"24" 1.20795 1.20795 "COLOR" "green" "circle" "0.70937" 1 "CONGRUENT" "NOSWITCH" 0.992730000000009
"25" 0.198509999999999 0.198509999999999 "C" "red" "circle" "1.29872" 1 "INCONGRUENT" "NOSWITCH" 1.00935
