"duration" "CSIDuration" "ColorShapeProbe" "StimulusColor" "StimulusShape" "ReactionTime" "CorrectResp" "Congruency" "Switching" "ITIDuration"
"1" 1.19381 1.19381 "COLOR" "green" "circle" 0.57184 1 "CONGRUENT" "NOSWITCH" 0
"2" 1.19368 1.19368 "SHAPE" "red" "circle" 0.40688 1 "INCONGRUENT" "SWITCH" 1.01142
"3" 1.19361 1.19361 "S" "green" "circle" 0.58481 1 "CONGRUENT" "NOSWITCH" 0.994759999999999
"4" 1.21022 1.21022 "SHAPE" "red" "circle" 0.42976 1 "INCONGRUENT" "NOSWITCH" 0.994769999999999
"5" 1.19368 1.19368 "S" "green" "triangle" 0.33679 1 "INCONGRUENT" "NOSWITCH" 2.00612
"6" 1.19373 1.19373 "SHAPE" "red" "circle" 0.5709 1 "INCONGRUENT" "NOSWITCH" 0.99475
"7" 0.215489999999999 0.215489999999999 "S" "red" "triangle" 0.71192 1 "CONGRUENT" "NOSWITCH" 0.99484
"8" 1.19371 1.19371 "C" "red" "circle" 0.34948 1 "INCONGRUENT" "SWITCH" 1.01135
"9" 0.215490000000003 0.215490000000003 "COLOR" "green" "circle" 0.50189 1 "CONGRUENT" "NOSWITCH" 2.00618
"10" 0.21555 0.21555 "C" "green" "triangle" 0.65222 1 "INCONGRUENT" "NOSWITCH" 0.994730000000004
"11" 0.215529999999994 0.215529999999994 "SHAPE" "red" "triangle" 0.61904 1 "CONGRUENT" "SWITCH" 0.994800000000005
"12" 0.215540000000004 0.215540000000004 "C" "red" "triangle" 1.08939 1 "CONGRUENT" "SWITCH" 0.994669999999999
"13" 1.21035 1.21035 "COLOR" "red" "circle" 0.48947 1 "INCONGRUENT" "NOSWITCH" 0.994689999999999
"14" 1.19371 1.19371 "C" "red" "triangle" 0.38302 1 "CONGRUENT" "NOSWITCH" 1.01138
"15" 1.21033 1.21033 "S" "red" "triangle" 0.48916 1 "CONGRUENT" "SWITCH" 2.00614
"16" 1.21032 1.21032 "SHAPE" "red" "triangle" 0.49013 1 "CONGRUENT" "NOSWITCH" 0.99474
"17" 1.19369999999999 1.19369999999999 "S" "red" "circle" 0.67709 1 "INCONGRUENT" "NOSWITCH" 0.994860000000003
"18" 0.18231999999999 0.18231999999999 "COLOR" "green" "triangle" 0.95935 1 "INCONGRUENT" "SWITCH" 2.00615000000001
"19" 1.21024 1.21024 "S" "green" "circle" 0.36061 1 "CONGRUENT" "SWITCH" 0.994780000000006
"20" 0.215459999999993 0.215459999999993 "SHAPE" "red" "circle" 0.46586 0 "INCONGRUENT" "NOSWITCH" 2.00611000000001
"21" 0.199079999999995 0.199079999999995 "S" "red" "triangle" 0.87547 1 "CONGRUENT" "NOSWITCH" 0.994770000000003
"22" 0.182389999999998 0.182389999999998 "SHAPE" "green" "circle" 0.5484 1 "CONGRUENT" "NOSWITCH" 2.0061
"23" 0.198899999999995 0.198899999999995 "COLOR" "red" "triangle" 0.49009 1 "CONGRUENT" "SWITCH" 3.00084000000001
"24" 1.21023000000001 1.21023000000001 "S" "red" "circle" 0.42966 1 "INCONGRUENT" "SWITCH" 0.994759999999999
"25" 0.19896 0.19896 "SHAPE" "red" "triangle" 1.26727 1 "CONGRUENT" "NOSWITCH" 3.00086
"26" 1.19369999999999 1.19369999999999 "COLOR" "green" "triangle" 0.32506 1 "INCONGRUENT" "SWITCH" 0.994860000000003
"27" 0.19896 0.19896 "C" "red" "triangle" 0.66508 1 "CONGRUENT" "NOSWITCH" 2.00617000000001
"28" 1.19374999999999 1.19374999999999 "COLOR" "green" "circle" 0.3717 1 "CONGRUENT" "NOSWITCH" 2.006
"29" 0.215459999999993 0.215459999999993 "C" "red" "circle" 0.75975 1 "INCONGRUENT" "NOSWITCH" 0.994830000000007
"30" 0.198989999999995 0.198989999999995 "S" "red" "circle" 1.0163 1 "INCONGRUENT" "SWITCH" 2.00609
"31" 1.19367000000001 1.19367000000001 "SHAPE" "green" "triangle" 0.32528 1 "INCONGRUENT" "NOSWITCH" 1.98956999999999
"32" 1.21023 1.21023 "C" "red" "triangle" 0.37261 1 "CONGRUENT" "SWITCH" 0.994779999999992
"33" 0.198980000000006 0.198980000000006 "COLOR" "green" "triangle" 0.53582 1 "INCONGRUENT" "NOSWITCH" 2.00613000000001
"34" 1.19370000000001 1.19370000000001 "C" "red" "circle" 0.50151 1 "INCONGRUENT" "NOSWITCH" 3.00076999999999
"35" 0.19896 0.19896 "COLOR" "green" "circle" 0.60627 1 "CONGRUENT" "NOSWITCH" 0.994779999999992
"36" 1.19363999999999 1.19363999999999 "C" "green" "triangle" 0.39149 1 "INCONGRUENT" "NOSWITCH" 2.00618
"37" 1.19372999999999 1.19372999999999 "SHAPE" "green" "circle" 0.34695 1 "CONGRUENT" "SWITCH" 2.0061
"38" 1.21025999999998 1.21025999999998 "S" "green" "triangle" 0.97294 1 "INCONGRUENT" "NOSWITCH" 0.994770000000017
"39" 0.199039999999997 0.199039999999997 "SHAPE" "red" "circle" 0.72399 1 "INCONGRUENT" "NOSWITCH" 1.01134000000002
"40" 0.199020000000019 0.199020000000019 "S" "green" "circle" 0.59221 1 "CONGRUENT" "NOSWITCH" 1.01132999999999
"41" 1.19370000000001 1.19370000000001 "C" "green" "circle" 0.31118 1 "CONGRUENT" "SWITCH" 1.01128
"42" 0.182439999999986 0.182439999999986 "COLOR" "red" "circle" 0.50015 1 "INCONGRUENT" "NOSWITCH" 2.00602000000001
"43" 1.19371999999998 1.19371999999998 "C" "red" "circle" 0.92461 1 "INCONGRUENT" "NOSWITCH" 2.00611000000001
"44" 1.19366000000002 1.19366000000002 "COLOR" "green" "triangle" 0.69056 1 "INCONGRUENT" "NOSWITCH" 2.00608
"45" 1.21028999999999 1.21028999999999 "C" "red" "triangle" 0.37287 1 "CONGRUENT" "NOSWITCH" 3.00078999999999
"46" 1.19366000000002 1.19366000000002 "COLOR" "green" "circle" 0.59496 1 "CONGRUENT" "NOSWITCH" 1.01131999999998
"47" 0.182410000000004 0.182410000000004 "C" "green" "triangle" 0.75984 1 "INCONGRUENT" "NOSWITCH" 2.00601
"48" 1.19376 1.19376 "SHAPE" "green" "triangle" 0.43013 1 "INCONGRUENT" "SWITCH" 2.00608
"49" 0.21550000000002 0.21550000000002 "S" "green" "triangle" 0.81781 1 "INCONGRUENT" "NOSWITCH" 1.98952
"50" 1.21034 1.21034 "C" "green" "circle" 0.43095 1 "CONGRUENT" "SWITCH" 0.994740000000007
"51" 1.21029000000001 1.21029000000001 "COLOR" "green" "circle" 0.39506 1 "CONGRUENT" "NOSWITCH" 0.994709999999998
"52" 1.19373000000002 1.19373000000002 "C" "green" "triangle" 0.44243 1 "INCONGRUENT" "NOSWITCH" 1.01132999999999
"53" 0.198920000000015 0.198920000000015 "COLOR" "green" "triangle" 0.57227 1 "INCONGRUENT" "NOSWITCH" 2.0061
"54" 0.198970000000003 0.198970000000003 "C" "red" "triangle" 1.26531 1 "CONGRUENT" "NOSWITCH" 2.006
"55" 0.199029999999993 0.199029999999993 "COLOR" "red" "triangle" 0.68881 1 "CONGRUENT" "NOSWITCH" 0.994730000000004
"56" 1.19372000000001 1.19372000000001 "C" "red" "triangle" 0.34851 1 "CONGRUENT" "NOSWITCH" 0.994720000000001
"57" 1.21026000000001 1.21026000000001 "COLOR" "red" "circle" 0.34807 1 "INCONGRUENT" "NOSWITCH" 0.99475000000001
"58" 0.182469999999995 0.182469999999995 "SHAPE" "green" "circle" 0.7352 1 "CONGRUENT" "SWITCH" 4.01211000000001
"59" 1.19375000000002 1.19375000000002 "COLOR" "red" "circle" 0.72382 1 "INCONGRUENT" "SWITCH" 1.01131999999998
"60" 0.198949999999996 0.198949999999996 "C" "green" "circle" 1.39542 1 "CONGRUENT" "NOSWITCH" 1.01139000000001
"61" 0.19896 0.19896 "SHAPE" "green" "triangle" 0.55978 1 "INCONGRUENT" "SWITCH" 1.01131000000004
"62" 0.198919999999987 0.198919999999987 "S" "green" "triangle" 0.65506 1 "INCONGRUENT" "NOSWITCH" 1.01136000000002
"63" 1.21019999999999 1.21019999999999 "SHAPE" "red" "triangle" 0.74873 1 "CONGRUENT" "NOSWITCH" 1.98951
"64" 0.215480000000014 0.215480000000014 "S" "red" "triangle" 0.75966 1 "CONGRUENT" "NOSWITCH" 0.994790000000023
"65" 1.19371999999998 1.19371999999998 "SHAPE" "red" "triangle" 0.66695 1 "CONGRUENT" "NOSWITCH" 2.00603000000001
"66" 0.215559999999982 0.215559999999982 "COLOR" "green" "circle" 0.63973 1 "CONGRUENT" "SWITCH" 0.994799999999998
"67" 0.215510000000052 0.215510000000052 "C" "red" "triangle" 0.58462 1 "CONGRUENT" "NOSWITCH" 0.994699999999966
"68" 0.199000000000012 0.199000000000012 "S" "red" "triangle" 0.7963 1 "CONGRUENT" "SWITCH" 2.00603999999998
"69" 1.19367 1.19367 "SHAPE" "red" "triangle" 0.37174 1 "CONGRUENT" "NOSWITCH" 2.00615000000005
"70" 0.198919999999987 0.198919999999987 "S" "red" "circle" 0.70083 1 "INCONGRUENT" "NOSWITCH" 3.00088
